Shipment Number,Shipper,Consignee,Origin,Destination,Transhipments count,Sending Agent,Receiving Agent,Sales Rep,TEU,Incitement,Transport Mode,Direction,Shipment Type,ETD,ETA,ATD,ATA,Total Transit Days,Total Estimated Transit Days,Delay Days,Late/Early
SHP107836,Adani Exports,XYZ Automotives,Cochin,Salalah,1,GT Air Express,EuroLogistics,V. Sinha,1,DDP,Sea,Export,LCL,05-11-2025,17-11-2025,06-11-2025,23-11-2025,17,12,5,Late Arrival
SHP107837,Adani Exports,Sun Drug Co Ltd,Cochin,Savannah,3,Shree Logi Agency,Bengal Marine,A. Joshi,1,DDP,Sea,Export,FCL,10-03-2024,07-04-2024,12-03-2024,21-04-2024,32,28,4,Late Arrival
SHP107838,Bharat Steel,ABC Imports Pvt Ltd,Kolkata,Dammam,2,Value Carry Pvt Ltd,Ocean Bridge,P. Desai,1,DDP,Sea,Export,FCL,08-04-2024,19-04-2024,08-04-2024,04-05-2024,24,11,13,Late Arrival
SHP107839,Adani Exports,Sun Drug Co Ltd,Kolkata,Gioia Tauro,1,Pacific Marine,Bengal Marine,S. Kumar,1,FCA,Sea,Export,FCL,19-12-2024,29-12-2024,19-12-2024,30-12-2024,11,10,1,Late Arrival
SHP107840,ITC Ltd,Star Imports Ltd,Mundra,Algeciras,1,South Freight,EuroLogistics,R. Goenka,4,DDP,Sea,Export,FCL,04-06-2025,19-06-2025,10-06-2025,29-06-2025,19,15,4,Late Arrival
SHP107841,Marico Ltd,AmeriTech LLC,Savannah,Chennai,3,Greenline Agency,Gujarat Links,D. Sharma,1,EXW,Sea,Import,LCL,03-11-2024,11-12-2024,04-11-2024,22-12-2024,44,38,6,Late Arrival
SHP107842,Tata Motors Ltd,Bharat Pharma Exports,Mundra,Kaohsiung,3,Pacific Marine,Ocean Bridge,A. Joshi,1,CIP,Sea,Export,FCL,19-07-2025,19-08-2025,19-07-2025,30-08-2025,37,31,6,Late Arrival
SHP107843,Godrej Agrovet,Global Traders LLP,Dallas,Cochin,1,FastShip Ocean,Bengal Marine,P. Desai,1,CIF,Air,Import,Parcel,03-06-2024,05-06-2024,13-06-2024,15-06-2024,2,2,0,On Time
SHP107844,Adani Exports,Sun Drug Co Ltd,Yantian,Kolkata,2,GT Air Express,Kanto Broker,V. Sinha,1,EXW,Sea,Import,FCL,17-12-2025,08-01-2026,18-12-2025,14-01-2026,26,22,4,Late Arrival
SHP107845,Mahindra Agritech,Bharat Pharma Exports,Tanjung Pelepas,Cochin,2,Greenline Agency,Bengal Marine,S. Kumar,4,EXW,Sea,Import,FCL,05-12-2024,27-12-2024,05-12-2024,03-01-2025,26,22,4,Late Arrival
SHP107846,Adani Exports,Sun Drug Co Ltd,Sohar,Tuticorin,2,Pacific Marine,EuroLogistics,V. Sinha,2,FOB,Sea,Import,FCL,06-07-2025,06-08-2025,07-07-2025,17-08-2025,40,31,9,Late Arrival
SHP107847,Max Pharma Ltd,XYZ Automotives,Seattle,Cochin,3,Value Carry Pvt Ltd,EuroLogistics,V. Sinha,2,EXW,Sea,Import,LCL,20-08-2025,19-09-2025,02-09-2025,07-10-2025,32,30,2,Late Arrival
SHP107848,Max Pharma Ltd,Global Traders LLP,Mundra,Paris,1,Value Carry Pvt Ltd,Bengal Marine,D. Sharma,1,FOB,Air,Export,Parcel,03-01-2026,05-01-2026,03-01-2026,06-01-2026,3,2,1,Late Arrival
SHP107849,Marico Ltd,Sun Drug Co Ltd,Chicago,Cochin,1,Greenline Agency,Kanto Broker,M. Tandon,1,DAP,Air,Import,Parcel,28-01-2026,30-01-2026,28-01-2026,31-01-2026,3,2,1,Late Arrival
SHP107850,Marico Ltd,ABC Imports Pvt Ltd,Cochin,Colombo,1,Value Carry Pvt Ltd,EuroLogistics,D. Sharma,1,DAP,Sea,Export,FCL,27-03-2026,31-03-2026,28-03-2026,12-04-2026,15,4,11,Late Arrival
SHP107851,Reliance Exports,XYZ Automotives,Jebel Ali,Tuticorin,2,Shree Logi Agency,Ocean Bridge,D. Sharma,1,FOB,Sea,Import,FCL,28-06-2025,22-07-2025,29-06-2025,01-08-2025,30,24,6,Late Arrival
SHP107852,Tata Motors Ltd,Bharat Pharma Exports,Chennai,Busan,2,Value Carry Pvt Ltd,Ocean Bridge,V. Sinha,1,CIF,Sea,Export,LCL,08-06-2025,23-06-2025,13-06-2025,29-06-2025,14,15,-1,Early Arrival
SHP107853,Marico Ltd,Star Imports Ltd,Cochin,Charleston,3,FastShip Ocean,Deko Freight,S. Kumar,1,DAP,Sea,Export,FCL,31-01-2026,02-03-2026,31-01-2026,14-03-2026,40,30,10,Late Arrival
SHP107854,Godrej Agrovet,Pacific Foods Ltd,Hong Kong,Chennai,2,Value Carry Pvt Ltd,Kanto Broker,D. Sharma,2,DAP,Sea,Import,FCL,16-09-2025,28-09-2025,17-09-2025,08-10-2025,20,12,8,Late Arrival
SHP107855,ITC Ltd,ABC Imports Pvt Ltd,Chennai,Los Angeles,3,South Freight,Deko Freight,R. Goenka,2,CIP,Sea,Export,FCL,06-06-2025,07-07-2025,09-06-2025,19-07-2025,38,31,7,Late Arrival
SHP107856,Reliance Exports,Pacific Foods Ltd,Port Said,Nhava Sheva,1,South Freight,Bengal Marine,P. Desai,1,DAP,Sea,Import,FCL,25-12-2024,05-01-2025,27-12-2024,11-01-2025,15,11,4,Late Arrival
SHP107857,Reliance Exports,Global Traders LLP,Mumbai,Yokohama,3,FastShip Ocean,Gujarat Links,D. Sharma,1,FOB,Sea,Export,FCL,03-08-2025,03-09-2025,04-08-2025,14-09-2025,37,31,6,Late Arrival
SHP107858,Godrej Agrovet,Fresh Foods Inc,Mundra,Norfolk,3,GT Air Express,Bluedart Cargo,A. Joshi,2,EXW,Sea,Export,FCL,16-11-2024,05-12-2024,16-11-2024,29-12-2024,38,19,19,Late Arrival
SHP107859,Reliance Exports,AmeriTech LLC,Nhava Sheva,Baltimore,3,Pacific Marine,Gujarat Links,S. Kumar,1,CIF,Sea,Export,LCL,26-06-2025,26-07-2025,26-06-2025,11-08-2025,42,30,12,Late Arrival
SHP107860,Adani Exports,Global Traders LLP,Chennai,Shanghai,2,South Freight,Kanto Broker,M. Tandon,1,CIF,Sea,Export,FCL,18-07-2024,01-08-2024,18-07-2024,04-08-2024,15,14,1,Late Arrival
SHP107861,Reliance Exports,ABC Imports Pvt Ltd,Mundra,Algeciras,1,Shree Logi Agency,Bengal Marine,A. Joshi,1,DDP,Sea,Export,FCL,11-01-2026,27-01-2026,18-01-2026,17-02-2026,30,16,14,Late Arrival
SHP107862,Bharat Steel,Pacific Foods Ltd,Kolkata,Long Beach,3,GT Air Express,Bluedart Cargo,D. Sharma,1,FCA,Sea,Export,FCL,03-03-2025,01-04-2025,11-03-2025,17-04-2025,33,29,4,Late Arrival
SHP107863,Larsen & Toubro,XYZ Automotives,London,Mundra,1,Greenline Agency,EuroLogistics,M. Tandon,1,DAP,Air,Import,Parcel,14-06-2025,16-06-2025,14-06-2025,18-06-2025,4,2,2,Late Arrival
SHP107864,Max Pharma Ltd,Bharat Pharma Exports,Kolkata,Tokyo,3,Shree Logi Agency,Ocean Bridge,M. Tandon,1,DAP,Sea,Export,LCL,30-11-2024,23-12-2024,01-12-2024,09-01-2025,35,23,12,Late Arrival
SHP107865,Bharat Steel,Fresh Foods Inc,Visakhapatnam,Savannah,3,Pacific Marine,Gujarat Links,V. Sinha,1,FOB,Sea,Export,FCL,30-09-2024,27-10-2024,04-10-2024,09-11-2024,33,27,6,Late Arrival
SHP107866,ITC Ltd,ABC Imports Pvt Ltd,Colombo,Chennai,1,Shree Logi Agency,Gujarat Links,P. Desai,1,DAP,Sea,Import,FCL,27-05-2025,10-06-2025,28-05-2025,12-06-2025,15,14,1,Late Arrival
SHP107867,Max Pharma Ltd,Pacific Foods Ltd,Cochin,Salalah,1,Pacific Marine,Gujarat Links,R. Goenka,1,DAP,Sea,Export,FCL,06-07-2024,14-07-2024,06-07-2024,16-07-2024,10,8,2,Late Arrival
SHP107868,Adani Exports,Bharat Pharma Exports,Port Said,Chennai,1,Value Carry Pvt Ltd,Gujarat Links,R. Goenka,1,DDP,Sea,Import,FCL,11-10-2024,21-10-2024,12-10-2024,25-10-2024,13,10,3,Late Arrival
SHP107869,Godrej Agrovet,XYZ Automotives,Antwerp,Tuticorin,3,Shree Logi Agency,Kanto Broker,D. Sharma,1,FOB,Sea,Import,FCL,15-05-2024,08-06-2024,16-05-2024,21-06-2024,30,24,6,Late Arrival
SHP107870,Godrej Agrovet,Pacific Foods Ltd,Kolkata,Tacoma,3,South Freight,Ocean Bridge,V. Sinha,4,DAP,Sea,Export,FCL,01-01-2024,03-02-2024,01-01-2024,11-02-2024,38,33,5,Late Arrival
SHP107871,Larsen & Toubro,Global Traders LLP,Chicago,Visakhapatnam,1,Pacific Marine,Bengal Marine,R. Goenka,1,DAP,Air,Import,Parcel,23-02-2024,25-02-2024,24-02-2024,27-02-2024,3,2,1,Late Arrival
SHP107872,Marico Ltd,AmeriTech LLC,Nhava Sheva,New York,3,GT Air Express,Bengal Marine,V. Sinha,1,EXW,Sea,Export,FCL,13-06-2025,09-07-2025,13-06-2025,18-07-2025,31,26,5,Late Arrival
SHP107873,Tata Motors Ltd,XYZ Automotives,Felixstowe,Cochin,3,Pacific Marine,Bengal Marine,V. Sinha,4,DDP,Sea,Import,FCL,07-12-2024,09-01-2025,14-12-2024,08-02-2025,40,33,7,Late Arrival
SHP107874,ITC Ltd,Sun Drug Co Ltd,Kolkata,Tokyo,3,Value Carry Pvt Ltd,EuroLogistics,V. Sinha,4,DDP,Sea,Export,FCL,24-01-2025,02-03-2025,24-01-2025,16-03-2025,46,37,9,Late Arrival
SHP107875,Bharat Steel,Euro Retail GmbH,Cochin,Los Angeles,2,Value Carry Pvt Ltd,Gujarat Links,D. Sharma,1,DAP,Air,Export,Parcel,03-08-2025,08-08-2025,04-08-2025,10-08-2025,6,5,1,Late Arrival
SHP107876,Bharat Steel,Euro Retail GmbH,Shanghai,Cochin,2,Shree Logi Agency,Bengal Marine,S. Kumar,2,CIF,Sea,Import,FCL,11-11-2025,24-11-2025,14-11-2025,05-12-2025,19,13,6,Late Arrival
SHP107877,Tata Motors Ltd,Global Traders LLP,Seattle,Kolkata,3,FastShip Ocean,EuroLogistics,M. Tandon,2,DDP,Sea,Import,FCL,19-10-2024,23-11-2024,21-10-2024,08-12-2024,40,35,5,Late Arrival
SHP107878,Marico Ltd,Fresh Foods Inc,Miami,Chennai,3,Shree Logi Agency,Deko Freight,V. Sinha,1,FCA,Sea,Import,FCL,07-09-2025,05-10-2025,07-09-2025,18-10-2025,39,28,11,Late Arrival
SHP107879,Larsen & Toubro,XYZ Automotives,Mumbai,Sohar,2,Greenline Agency,Bengal Marine,D. Sharma,1,FCA,Sea,Export,FCL,24-10-2024,13-11-2024,30-10-2024,27-11-2024,26,20,6,Late Arrival
SHP107880,Max Pharma Ltd,Pacific Foods Ltd,Tuticorin,Yantian,2,South Freight,Ocean Bridge,V. Sinha,1,DAP,Sea,Export,FCL,25-02-2026,19-03-2026,25-02-2026,27-03-2026,28,22,6,Late Arrival
SHP107881,Larsen & Toubro,Fresh Foods Inc,Tuticorin,Shanghai,2,FastShip Ocean,Ocean Bridge,V. Sinha,1,CIP,Sea,Export,FCL,13-01-2026,22-01-2026,18-01-2026,01-02-2026,11,9,2,Late Arrival
SHP107882,Max Pharma Ltd,XYZ Automotives,Mumbai,Port Klang,3,GT Air Express,Gujarat Links,P. Desai,2,CIF,Sea,Export,FCL,07-03-2025,05-04-2025,11-03-2025,29-04-2025,42,29,13,Late Arrival
SHP107883,Larsen & Toubro,Euro Retail GmbH,Visakhapatnam,Ningbo,3,Value Carry Pvt Ltd,Kanto Broker,D. Sharma,1,DDP,Sea,Export,FCL,26-10-2025,14-11-2025,31-10-2025,24-11-2025,17,19,-2,Early Arrival
SHP107884,ITC Ltd,Sun Drug Co Ltd,Baltimore,Cochin,3,Pacific Marine,Bengal Marine,V. Sinha,1,FCA,Sea,Import,LCL,27-11-2025,27-12-2025,27-11-2025,11-01-2026,35,30,5,Late Arrival
SHP107885,ITC Ltd,Fresh Foods Inc,Nhava Sheva,Yantian,2,Greenline Agency,EuroLogistics,P. Desai,1,CIF,Sea,Export,LCL,12-02-2026,10-03-2026,14-02-2026,23-03-2026,29,26,3,Late Arrival
SHP107886,Reliance Exports,Sun Drug Co Ltd,Miami,Mundra,3,Shree Logi Agency,Deko Freight,P. Desai,1,CIP,Sea,Import,FCL,28-03-2024,28-04-2024,28-03-2024,31-05-2024,58,31,27,Late Arrival
SHP107887,Godrej Agrovet,Global Traders LLP,Gioia Tauro,Kolkata,1,Value Carry Pvt Ltd,Deko Freight,S. Kumar,1,FOB,Sea,Import,LCL,04-05-2024,14-05-2024,05-05-2024,21-05-2024,16,10,6,Late Arrival
SHP107888,ITC Ltd,Sun Drug Co Ltd,Tuticorin,Seattle,3,Pacific Marine,Kanto Broker,A. Joshi,2,DDP,Sea,Export,FCL,26-10-2024,27-11-2024,30-10-2024,24-12-2024,39,32,7,Late Arrival
SHP107889,Reliance Exports,Bharat Pharma Exports,Kolkata,Charleston,3,Value Carry Pvt Ltd,Gujarat Links,A. Joshi,1,CIP,Sea,Export,FCL,06-01-2026,30-01-2026,06-01-2026,15-02-2026,35,24,11,Late Arrival
SHP107890,Max Pharma Ltd,Global Traders LLP,Kolkata,Norfolk,3,Shree Logi Agency,Bengal Marine,D. Sharma,2,FOB,Sea,Export,FCL,14-01-2025,02-02-2025,16-01-2025,16-02-2025,28,19,9,Late Arrival
SHP107891,Max Pharma Ltd,Sun Drug Co Ltd,Mumbai,Hamburg,3,FastShip Ocean,Deko Freight,R. Goenka,1,FCA,Sea,Export,FCL,20-09-2024,17-10-2024,04-10-2024,25-11-2024,47,27,20,Late Arrival
SHP107892,Godrej Agrovet,AmeriTech LLC,Felixstowe,Nhava Sheva,3,Value Carry Pvt Ltd,Kanto Broker,V. Sinha,1,CIF,Sea,Import,LCL,22-02-2026,28-03-2026,22-02-2026,19-04-2026,50,34,16,Late Arrival
SHP107893,Bharat Steel,Fresh Foods Inc,Mundra,Hong Kong,1,FastShip Ocean,Bengal Marine,A. Joshi,1,FOB,Air,Export,Parcel,29-08-2024,30-08-2024,30-08-2024,31-08-2024,1,1,0,On Time
SHP107894,Marico Ltd,AmeriTech LLC,Ningbo,Nhava Sheva,2,GT Air Express,Ocean Bridge,D. Sharma,1,CIF,Sea,Import,LCL,31-05-2024,17-06-2024,01-06-2024,25-06-2024,22,17,5,Late Arrival
SHP107895,ITC Ltd,Fresh Foods Inc,Mumbai,Dallas,1,Shree Logi Agency,Kanto Broker,R. Goenka,1,CIP,Air,Export,Parcel,24-04-2024,26-04-2024,25-04-2024,28-04-2024,3,2,1,Late Arrival
SHP107896,Max Pharma Ltd,Bharat Pharma Exports,Algeciras,Mundra,1,Pacific Marine,EuroLogistics,V. Sinha,1,EXW,Sea,Import,FCL,31-07-2025,16-08-2025,01-08-2025,20-08-2025,19,16,3,Late Arrival
SHP107897,Tata Motors Ltd,Pacific Foods Ltd,Mumbai,Antwerp,3,Greenline Agency,Bengal Marine,P. Desai,1,EXW,Sea,Export,FCL,22-02-2026,10-03-2026,23-02-2026,18-03-2026,19,16,3,Late Arrival
SHP107898,ITC Ltd,XYZ Automotives,Mundra,Long Beach,3,Shree Logi Agency,EuroLogistics,P. Desai,4,EXW,Sea,Export,LCL,06-03-2026,30-03-2026,06-03-2026,13-04-2026,32,24,8,Late Arrival
SHP107899,Godrej Agrovet,Bharat Pharma Exports,Cochin,New York,3,South Freight,Gujarat Links,D. Sharma,1,DDP,Sea,Export,FCL,07-03-2026,06-04-2026,07-03-2026,24-04-2026,43,30,13,Late Arrival
SHP107900,ITC Ltd,Pacific Foods Ltd,Chennai,Jebel Ali,2,Greenline Agency,Kanto Broker,M. Tandon,2,FOB,Sea,Export,FCL,07-12-2024,18-12-2024,07-12-2024,22-12-2024,14,11,3,Late Arrival
SHP107901,Bharat Steel,AmeriTech LLC,Colombo,Nhava Sheva,1,FastShip Ocean,Kanto Broker,V. Sinha,1,CIF,Sea,Import,FCL,24-08-2025,06-09-2025,24-08-2025,07-09-2025,14,13,1,Late Arrival
SHP107902,Larsen & Toubro,Fresh Foods Inc,Chennai,Hong Kong,2,FastShip Ocean,Deko Freight,D. Sharma,1,DDP,Sea,Export,FCL,21-08-2025,29-08-2025,25-08-2025,24-09-2025,9,8,1,Late Arrival
SHP107903,Max Pharma Ltd,ABC Imports Pvt Ltd,Kaohsiung,Nhava Sheva,2,South Freight,Gujarat Links,P. Desai,1,CIP,Sea,Import,FCL,01-09-2025,29-09-2025,06-09-2025,12-10-2025,33,28,5,Late Arrival
SHP107904,Marico Ltd,Pacific Foods Ltd,Kolkata,Antwerp,3,Shree Logi Agency,Kanto Broker,P. Desai,1,CIF,Sea,Export,LCL,07-03-2025,30-03-2025,08-03-2025,18-04-2025,37,23,14,Late Arrival
SHP107905,Tata Motors Ltd,Global Traders LLP,Ningbo,Mumbai,2,FastShip Ocean,Bengal Marine,V. Sinha,2,CIP,Sea,Import,FCL,12-03-2025,09-04-2025,16-03-2025,22-04-2025,32,28,4,Late Arrival
SHP107906,Max Pharma Ltd,Sun Drug Co Ltd,Mumbai,Colombo,1,South Freight,Kanto Broker,P. Desai,1,DAP,Sea,Export,LCL,15-08-2024,20-08-2024,16-08-2024,22-08-2024,6,5,1,Late Arrival
SHP107907,Godrej Agrovet,Pacific Foods Ltd,Kolkata,Charleston,3,Greenline Agency,Bengal Marine,A. Joshi,1,FOB,Sea,Export,LCL,30-04-2024,17-05-2024,05-05-2024,29-05-2024,20,17,3,Late Arrival
SHP107908,Mahindra Agritech,Bharat Pharma Exports,Rotterdam,Mundra,3,Shree Logi Agency,Gujarat Links,S. Kumar,1,DDP,Sea,Import,FCL,09-11-2025,20-12-2025,11-11-2025,07-01-2026,47,41,6,Late Arrival
SHP107909,Godrej Agrovet,ABC Imports Pvt Ltd,Hong Kong,Mumbai,2,South Freight,Bengal Marine,A. Joshi,1,DDP,Sea,Import,LCL,25-12-2024,17-01-2025,25-12-2024,26-01-2025,29,23,6,Late Arrival
SHP107910,Larsen & Toubro,Sun Drug Co Ltd,Tuticorin,Hamburg,3,GT Air Express,Gujarat Links,D. Sharma,2,CIP,Sea,Export,FCL,01-07-2025,03-08-2025,01-07-2025,20-08-2025,36,33,3,Late Arrival
SHP107911,Adani Exports,Euro Retail GmbH,Norfolk,Chennai,3,Greenline Agency,Kanto Broker,S. Kumar,4,DAP,Sea,Import,FCL,20-03-2025,14-04-2025,20-03-2025,30-04-2025,39,25,14,Late Arrival
SHP107912,Reliance Exports,Bharat Pharma Exports,Nhava Sheva,Singapore,3,South Freight,Kanto Broker,V. Sinha,1,EXW,Sea,Export,FCL,01-10-2025,22-11-2025,07-10-2025,10-12-2025,57,52,5,Late Arrival
SHP107913,Reliance Exports,ABC Imports Pvt Ltd,Visakhapatnam,Seattle,3,FastShip Ocean,Ocean Bridge,D. Sharma,2,FOB,Sea,Export,FCL,26-11-2025,30-12-2025,26-11-2025,12-01-2026,41,34,7,Late Arrival
SHP107914,ITC Ltd,Star Imports Ltd,Cochin,Jeddah,2,Value Carry Pvt Ltd,Ocean Bridge,S. Kumar,4,EXW,Sea,Export,FCL,20-12-2024,06-01-2025,25-12-2024,16-01-2025,19,17,2,Late Arrival
SHP107915,Marico Ltd,Global Traders LLP,Tuticorin,Valencia,3,Pacific Marine,Bengal Marine,R. Goenka,1,DDP,Sea,Export,FCL,24-01-2025,10-02-2025,26-01-2025,10-03-2025,28,17,11,Late Arrival
SHP107916,Larsen & Toubro,ABC Imports Pvt Ltd,Kaohsiung,Nhava Sheva,2,South Freight,Bengal Marine,S. Kumar,1,CIP,Sea,Import,FCL,16-02-2026,03-03-2026,20-02-2026,17-03-2026,16,15,1,Late Arrival
SHP107917,Adani Exports,Star Imports Ltd,Visakhapatnam,Salalah,1,GT Air Express,EuroLogistics,D. Sharma,1,DAP,Sea,Export,FCL,15-05-2024,29-05-2024,15-05-2024,30-05-2024,15,14,1,Late Arrival
SHP107918,Bharat Steel,Euro Retail GmbH,New York,Tuticorin,2,Shree Logi Agency,Gujarat Links,A. Joshi,1,CIP,Air,Import,Parcel,25-06-2024,30-06-2024,25-06-2024,01-07-2024,6,5,1,Late Arrival
SHP107919,Larsen & Toubro,Euro Retail GmbH,Felixstowe,Cochin,3,South Freight,Bengal Marine,M. Tandon,2,DDP,Sea,Import,LCL,22-01-2024,17-02-2024,24-01-2024,03-03-2024,32,26,6,Late Arrival
SHP107920,Adani Exports,Pacific Foods Ltd,Ningbo,Nhava Sheva,2,Shree Logi Agency,Bengal Marine,R. Goenka,2,CIP,Sea,Import,LCL,05-02-2024,20-02-2024,07-02-2024,06-03-2024,18,15,3,Late Arrival
SHP107921,Mahindra Agritech,Star Imports Ltd,New York,Mumbai,2,FastShip Ocean,Gujarat Links,M. Tandon,1,FCA,Air,Import,Parcel,05-04-2024,10-04-2024,06-04-2024,12-04-2024,6,5,1,Late Arrival
SHP107922,Larsen & Toubro,Global Traders LLP,Mundra,Los Angeles,3,Pacific Marine,EuroLogistics,D. Sharma,1,FOB,Sea,Export,FCL,29-09-2024,25-10-2024,01-10-2024,07-11-2024,29,26,3,Late Arrival
SHP107923,Adani Exports,Sun Drug Co Ltd,Savannah,Visakhapatnam,3,Shree Logi Agency,Ocean Bridge,P. Desai,2,CIF,Sea,Import,LCL,13-06-2024,05-07-2024,15-06-2024,22-07-2024,31,22,9,Late Arrival
SHP107924,Reliance Exports,Sun Drug Co Ltd,Tokyo,Mumbai,2,Value Carry Pvt Ltd,Bengal Marine,A. Joshi,1,DAP,Sea,Import,FCL,01-11-2024,23-11-2024,01-11-2024,30-11-2024,27,22,5,Late Arrival
SHP107925,Reliance Exports,Star Imports Ltd,Busan,Kolkata,2,GT Air Express,Ocean Bridge,R. Goenka,1,CIF,Sea,Import,LCL,21-12-2025,06-01-2026,23-12-2025,29-01-2026,32,16,16,Late Arrival
SHP107926,Adani Exports,Star Imports Ltd,Singapore,Nhava Sheva,2,Value Carry Pvt Ltd,Ocean Bridge,S. Kumar,1,DDP,Sea,Import,FCL,29-05-2025,19-06-2025,03-06-2025,28-06-2025,23,21,2,Late Arrival
SHP107927,Mahindra Agritech,Star Imports Ltd,Nhava Sheva,Sohar,2,Pacific Marine,EuroLogistics,S. Kumar,1,EXW,Sea,Export,LCL,15-05-2025,07-06-2025,16-05-2025,16-06-2025,29,23,6,Late Arrival
SHP107928,Mahindra Agritech,Pacific Foods Ltd,Tacoma,Mundra,3,GT Air Express,Deko Freight,M. Tandon,1,FOB,Sea,Import,FCL,13-07-2024,14-08-2024,13-07-2024,20-08-2024,36,32,4,Late Arrival
SHP107929,Bharat Steel,ABC Imports Pvt Ltd,Mumbai,Charleston,3,Pacific Marine,Deko Freight,D. Sharma,2,EXW,Sea,Export,LCL,09-10-2025,31-10-2025,10-10-2025,22-11-2025,30,22,8,Late Arrival
SHP107930,Mahindra Agritech,Fresh Foods Inc,Tokyo,Mundra,2,GT Air Express,Bengal Marine,V. Sinha,1,CIF,Air,Import,Parcel,03-04-2025,09-04-2025,05-04-2025,15-04-2025,6,6,0,On Time
SHP107931,Reliance Exports,Bharat Pharma Exports,Cochin,Seattle,3,GT Air Express,Kanto Broker,A. Joshi,1,CIP,Sea,Export,FCL,25-10-2024,21-11-2024,27-10-2024,03-12-2024,29,27,2,Late Arrival
SHP107932,Marico Ltd,XYZ Automotives,Gioia Tauro,Mundra,1,Pacific Marine,Kanto Broker,M. Tandon,1,DDP,Sea,Import,FCL,08-05-2024,18-05-2024,08-05-2024,21-05-2024,13,10,3,Late Arrival
SHP107933,ITC Ltd,Star Imports Ltd,Mundra,Tacoma,3,Shree Logi Agency,Deko Freight,P. Desai,1,FOB,Sea,Export,LCL,25-04-2025,25-05-2025,25-04-2025,11-06-2025,44,30,14,Late Arrival
SHP107934,Max Pharma Ltd,Sun Drug Co Ltd,Tanger Med,Cochin,1,Pacific Marine,Bengal Marine,S. Kumar,2,CIF,Sea,Import,LCL,06-01-2025,18-01-2025,06-01-2025,21-01-2025,15,12,3,Late Arrival
SHP107935,Reliance Exports,Euro Retail GmbH,Kolkata,Port Klang,3,Pacific Marine,EuroLogistics,R. Goenka,1,CIF,Sea,Export,FCL,28-01-2024,07-03-2024,29-01-2024,17-03-2024,40,39,1,Late Arrival
SHP107936,Adani Exports,AmeriTech LLC,Mundra,Chicago,1,Value Carry Pvt Ltd,Ocean Bridge,D. Sharma,1,DDP,Air,Export,Parcel,05-08-2025,06-08-2025,06-08-2025,09-08-2025,3,1,2,Late Arrival
SHP107937,Adani Exports,Star Imports Ltd,Kolkata,Los Angeles,3,Value Carry Pvt Ltd,Bluedart Cargo,M. Tandon,4,DDP,Sea,Export,FCL,21-02-2025,18-03-2025,22-02-2025,27-03-2025,29,25,4,Late Arrival
SHP107938,Reliance Exports,Star Imports Ltd,Tuticorin,Norfolk,3,FastShip Ocean,Bluedart Cargo,D. Sharma,4,CIF,Sea,Export,FCL,29-12-2025,24-01-2026,31-12-2025,23-02-2026,50,26,24,Late Arrival
SHP107939,Max Pharma Ltd,Fresh Foods Inc,Rotterdam,Mumbai,3,Value Carry Pvt Ltd,Kanto Broker,A. Joshi,1,FOB,Sea,Import,LCL,20-03-2024,27-04-2024,20-03-2024,11-05-2024,49,38,11,Late Arrival
SHP107940,Adani Exports,Bharat Pharma Exports,Kolkata,Hamburg,3,Shree Logi Agency,Ocean Bridge,M. Tandon,4,FOB,Sea,Export,FCL,30-10-2025,24-11-2025,30-10-2025,06-12-2025,34,25,9,Late Arrival
SHP107941,ITC Ltd,Euro Retail GmbH,Mumbai,Dammam,2,Greenline Agency,Ocean Bridge,M. Tandon,1,DDP,Sea,Export,LCL,21-11-2025,07-12-2025,21-11-2025,10-12-2025,16,16,0,On Time
SHP107942,Bharat Steel,AmeriTech LLC,Hong Kong,Nhava Sheva,1,South Freight,Ocean Bridge,D. Sharma,1,DAP,Air,Import,Parcel,31-07-2025,01-08-2025,31-07-2025,01-08-2025,1,1,0,On Time
SHP107943,Godrej Agrovet,Global Traders LLP,Kaohsiung,Visakhapatnam,2,Value Carry Pvt Ltd,Deko Freight,M. Tandon,2,CIP,Sea,Import,FCL,26-11-2025,19-12-2025,29-11-2025,02-01-2026,29,23,6,Late Arrival
SHP107944,Bharat Steel,Bharat Pharma Exports,Tanjung Pelepas,Chennai,2,FastShip Ocean,Bengal Marine,M. Tandon,2,FOB,Sea,Import,FCL,12-07-2025,28-07-2025,13-07-2025,01-08-2025,18,16,2,Late Arrival
SHP107945,Marico Ltd,XYZ Automotives,Mumbai,Valencia,3,Pacific Marine,Deko Freight,V. Sinha,1,CIF,Sea,Export,FCL,21-09-2024,17-10-2024,21-09-2024,29-10-2024,33,26,7,Late Arrival
SHP107946,ITC Ltd,Pacific Foods Ltd,Dallas,Visakhapatnam,1,FastShip Ocean,Bluedart Cargo,S. Kumar,1,CIP,Air,Import,Parcel,27-03-2026,30-03-2026,28-03-2026,01-04-2026,4,3,1,Late Arrival
SHP107947,ITC Ltd,Fresh Foods Inc,Cochin,Tacoma,3,GT Air Express,Deko Freight,R. Goenka,1,EXW,Sea,Export,FCL,09-06-2025,06-07-2025,11-06-2025,15-07-2025,28,27,1,Late Arrival
SHP107948,Mahindra Agritech,Euro Retail GmbH,Tokyo,Nhava Sheva,2,GT Air Express,Bengal Marine,V. Sinha,1,DDP,Sea,Import,LCL,12-05-2025,04-06-2025,14-05-2025,11-06-2025,25,23,2,Late Arrival
